gcf1,gcf2,count,jaccard_index,distance,weight
GCF_959401c494,GCF_96ff50a78e,29,0.93548387,0.06451613,0.93548387
GCF_289502f8a4,GCF_b40aec07ed,72,0.93506494,0.06493506000000004,0.93506494
GCF_5fa3024888,GCF_f9729570de,42,0.93333333,0.06666667000000004,0.93333333
GCF_0df2f492b5,GCF_881ef3f209,26,0.92857143,0.07142857000000002,0.92857143
GCF_3e49c1cc08,GCF_fb93d890ee,26,0.92857143,0.07142857000000002,0.92857143
GCF_4d1a2b6116,GCF_fb93d890ee,26,0.92857143,0.07142857000000002,0.92857143
GCF_7079ae269d,GCF_fb93d890ee,26,0.92857143,0.07142857000000002,0.92857143
GCF_881ef3f209,GCF_cea89f0dcf,26,0.92857143,0.07142857000000002,0.92857143
GCF_ecb056de4d,GCF_fb93d890ee,26,0.92857143,0.07142857000000002,0.92857143
GCF_74cfa35cea,GCF_e91b1b90ba,38,0.92682927,0.07317072999999996,0.92682927
GCF_242dc0f2d9,GCF_5c92ccc854,25,0.92592593,0.07407406999999999,0.92592593
GCF_3e49c1cc08,GCF_b44a062edd,25,0.92592593,0.07407406999999999,0.92592593
GCF_4d1a2b6116,GCF_b44a062edd,25,0.92592593,0.07407406999999999,0.92592593
GCF_7079ae269d,GCF_b44a062edd,25,0.92592593,0.07407406999999999,0.92592593
GCF_75730455ff,GCF_9b19bf8cf4,25,0.92592593,0.07407406999999999,0.92592593
GCF_b44a062edd,GCF_ecb056de4d,25,0.92592593,0.07407406999999999,0.92592593
GCF_0feaf063d2,GCF_39ed86d51c,87,0.92553191,0.07446808999999999,0.92553191
GCF_2123b9febb,GCF_6334c26e5f,74,0.925,0.07499999999999996,0.925
GCF_289502f8a4,GCF_6fa8c83513,74,0.925,0.07499999999999996,0.925
GCF_028c0bb382,GCF_866961838b,49,0.9245283,0.07547170000000003,0.9245283
GCF_39ed86d51c,GCF_6a2c02fa95,85,0.92391304,0.07608696000000004,0.92391304
GCF_1446668f30,GCF_6334c26e5f,72,0.92307692,0.07692308000000003,0.92307692
GCF_27119445a7,GCF_866961838b,48,0.92307692,0.07692308000000003,0.92307692
GCF_866961838b,GCF_8c1b2c8d09,48,0.92307692,0.07692308000000003,0.92307692
GCF_866961838b,GCF_924958cd26,47,0.92156863,0.07843137,0.92156863
GCF_11d524052c,GCF_87f71cd7de,35,0.92105263,0.07894736999999996,0.92105263
GCF_11d524052c,GCF_9cff6a0632,35,0.92105263,0.07894736999999996,0.92105263
GCF_29feb4e8ad,GCF_87f71cd7de,35,0.92105263,0.07894736999999996,0.92105263
GCF_29feb4e8ad,GCF_9cff6a0632,35,0.92105263,0.07894736999999996,0.92105263
GCF_4b6a48dc37,GCF_87f71cd7de,35,0.92105263,0.07894736999999996,0.92105263
GCF_4b6a48dc37,GCF_9cff6a0632,35,0.92105263,0.07894736999999996,0.92105263
GCF_77cb185f51,GCF_87f71cd7de,35,0.92105263,0.07894736999999996,0.92105263
GCF_77cb185f51,GCF_9cff6a0632,35,0.92105263,0.07894736999999996,0.92105263
GCF_87f71cd7de,GCF_b4b3bbab9b,35,0.92105263,0.07894736999999996,0.92105263
GCF_9cff6a0632,GCF_b4b3bbab9b,35,0.92105263,0.07894736999999996,0.92105263
GCF_eae3c65513,GCF_fd3a43eee5,35,0.92105263,0.07894736999999996,0.92105263
GCF_247214152f,GCF_786d0a4dd3,67,0.91780822,0.08219178000000005,0.91780822
GCF_27b81251ee,GCF_9e1358ce30,67,0.91780822,0.08219178000000005,0.91780822
GCF_2128a6b8f7,GCF_c6a52d4832,22,0.91666667,0.08333332999999998,0.91666667
GCF_32ae0f3378,GCF_5492626696,22,0.91666667,0.08333332999999998,0.91666667
GCF_354413638e,GCF_5388b1201c,44,0.91666667,0.08333332999999998,0.91666667
